quantile1_it max_it mean_it median_it min_it quantile3_it variance_it absdev_it skewness_it kurtosis_it log2(tic) quantile1_mz max_mz mean_mz median_mz min_mz quantile3_mz variance_mz absdev_mz skewness_mz kurtosis_mz log2(ttc) ab_noise
569 2.70386e+07 7596.35 1470 5 3334 1.83092e+10 10456 76.4182 8111.29 37.9021 569 2.70386e+07 7596.35 1470 5 3334 1.83092e+10 10456 76.4182 8111.29 34.5709 2887886
373 1.17862e+07 4224.6 960 12 2152 3.47296e+09 5529.9 77.8163 8910.65 37.166 373 1.17862e+07 4224.6 960 12 2152 3.47296e+09 5529.9 77.8163 8910.65 34.7051 2991633
225 2.08587e+07 3642.65 584 4 1272 6.77856e+09 5332.21 91.0576 11685.7 37.0047 225 2.08587e+07 3642.65 584 4 1272 6.77856e+09 5332.21 91.0576 11685.7 34.7945 2575378
152 8.28682e+06 1705.32 391 4 850 1.17024e+09 2243.68 111.295 16686.1 35.9733 152 8.28682e+06 1705.32 391 4 850 1.17024e+09 2243.68 111.295 16686.1 34.8865 2749490
100 1.56609e+07 1624.17 256 4 545 2.56881e+09 2400.58 136.24 25186.6 35.8334 100 1.56609e+07 1624.17 256 4 545 2.56881e+09 2400.58 136.24 25186.6 34.8331 2281037
68 6.20868e+06 962.713 179 4 390 6.44648e+08 1348.54 121.228 19147.5 34.9636 68 6.20868e+06 962.713 179 4 390 6.44648e+08 1348.54 121.228 19147.5 34.7227 2222800
29 2.65668e+07 5243.88 105 4 452 2.2005e+10 9236.43 74.1434 7376.62 37.0183 29 2.65668e+07 5243.88 105 4 452 2.2005e+10 9236.43 74.1434 7376.62 34.3816 2310085
33 1.65851e+07 3138.71 124 4 548 6.627e+09 5156.06 85.8754 9727.45 36.5004 33 1.65851e+07 3138.71 124 4 548 6.627e+09 5156.06 85.8754 9727.45 34.6388 3036324
29 2.64101e+07 3738.45 98 4 364 1.58688e+10 6540 91.0136 10724.6 36.6347 29 2.64101e+07 3738.45 98 4 364 1.58688e+10 6540 91.0136 10724.6 34.5231 2628739
29 1.48452e+07 2679.22 104 4 431 5.57136e+09 4431.94 88.3094 10078.9 36.2835 29 1.48452e+07 2679.22 104 4 431 5.57136e+09 4431.94 88.3094 10078.9 34.6702 3096138
26 2.31412e+07 3492.83 85 4 285 1.42121e+10 6179.51 88.6502 10152 36.5763 26 2.31412e+07 3492.83 85 4 285 1.42121e+10 6179.51 88.6502 10152 34.5849 2689538
30 1.89256e+07 2670.53 105 4 419 5.83266e+09 4433.56 89.3234 10366.8 36.3494 30 1.89256e+07 2670.53 105 4 419 5.83266e+09 4433.56 89.3234 10366.8 34.7639 3121765
25 2.46898e+07 3620.48 81 4 271 1.51453e+10 6431.71 87.0371 9786.67 36.6172 25 2.46898e+07 3620.48 81 4 271 1.51453e+10 6431.71 87.0371 9786.67 34.5798 2635306
32 1.57081e+07 2569.36 112 4 430 5.39727e+09 4249.96 90.6065 10632.4 36.3467 32 1.57081e+07 2569.36 112 4 430 5.39727e+09 4249.96 90.6065 10632.4 34.8352 3257557
27 2.53214e+07 3416.97 87 4 291 1.41508e+10 6027.07 90.9113 10651.3 36.5903 27 2.53214e+07 3416.97 87 4 291 1.41508e+10 6027.07 90.9113 10651.3 34.6505 2817344
34 1.50282e+07 2596.44 118 4 443 5.64783e+09 4292.78 90.5518 10522.9 36.4011 34 1.50282e+07 2596.44 118 4 443 5.64783e+09 4292.78 90.5518 10522.9 34.882 3281218
27 2.39816e+07 3488.3 86 4 282 1.47726e+10 6169.52 89.7427 10314.4 36.6346 27 2.39816e+07 3488.3 86 4 282 1.47726e+10 6169.52 89.7427 10314.4 34.6667 2836277
33 1.57797e+07 2764.95 117 4 461 6.11285e+09 4581.26 89.2872 10370.6 36.4628 33 1.57797e+07 2764.95 117 4 461 6.11285e+09 4581.26 89.2872 10370.6 34.849 3119925
26 2.43433e+07 3568.79 83 4 275 1.51898e+10 6323.61 89.5456 10322.8 36.6443 26 2.43433e+07 3568.79 83 4 275 1.51898e+10 6323.61 89.5456 10322.8 34.6426 2764101
34 1.57255e+07 2814.96 118 4 462 6.18965e+09 4667.94 86.9304 9876.12 36.4972 34 1.57255e+07 2814.96 118 4 462 6.18965e+09 4667.94 86.9304 9876.12 34.8594 3211147
26 2.56625e+07 3625.99 83 4 272 1.5306e+10 6424.03 88.2267 10060.1 36.6523 26 2.56625e+07 3625.99 83 4 272 1.5306e+10 6424.03 88.2267 10060.1 34.6269 2751169
36 1.49975e+07 2440.5 125 4 453 5.44416e+09 4004.82 91.1779 10532 36.334 36 1.49975e+07 2440.5 125 4 453 5.44416e+09 4004.82 91.1779 10532 34.9223 3499124
