quantile1_it max_it mean_it median_it min_it quantile3_it variance_it absdev_it skewness_it kurtosis_it log2(tic) quantile1_mz max_mz mean_mz median_mz min_mz quantile3_mz variance_mz absdev_mz skewness_mz kurtosis_mz log2(ttc) ab_noise
43 8.59047e+06 7575.59 735 1 3579 5.8499e+09 10791.1 45.3069 2738.78 36.0228 43 8.59047e+06 7575.59 735 1 3579 5.8499e+09 10791.1 45.3069 2738.78 33.5116 1835392
62 8.99861e+06 6953.06 734 1 3255 5.17791e+09 9878.23 46.5584 3000.63 35.8677 62 8.99861e+06 6953.06 734 1 3255 5.17791e+09 9878.23 46.5584 3000.63 33.4502 1792569
47 7.71578e+06 6976.84 757 1 3496 3.70177e+09 9792.51 42.8858 2595.92 35.9228 47 7.71578e+06 6976.84 757 1 3496 3.70177e+09 9792.51 42.8858 2595.92 33.5212 1859896
61 7.32643e+06 5871.35 653 1 2818 3.70143e+09 8290.19 46.7506 2979.81 35.6609 61 7.32643e+06 5871.35 653 1 2818 3.70143e+09 8290.19 46.7506 2979.81 33.4864 1824066
49 8.36455e+06 6496.46 707 1 3175 3.37486e+09 9151.86 44.7015 2890.08 35.8654 49 8.36455e+06 6496.46 707 1 3175 3.37486e+09 9151.86 44.7015 2890.08 33.5765 1887227
52 9.0629e+06 6071.89 539 1 2371 6.26192e+09 8946.94 47.2306 2882.99 35.7311 52 9.0629e+06 6071.89 539 1 2371 6.26192e+09 8946.94 47.2306 2882.99 33.5203 1827647
53 8.82505e+06 5928.51 664 1 2893 3.27696e+09 8343.62 49.8643 3562.96 35.7534 53 8.82505e+06 5928.51 664 1 2893 3.27696e+09 8343.62 49.8643 3562.96 33.6028 1907685
64 9.33839e+06 6668.58 621 1 2611 6.56773e+09 9796.44 45.8417 2729.58 35.878 64 9.33839e+06 6668.58 621 1 2611 6.56773e+09 9796.44 45.8417 2729.58 33.5399 1837396
58 9.62003e+06 6055.11 655 1 2811 3.61453e+09 8600.82 50.1409 3646.65 35.796 58 9.62003e+06 6055.11 655 1 2811 3.61453e+09 8600.82 50.1409 3646.65 33.6189 1912632
63 8.56963e+06 5175.06 536 1 2180 4.20544e+09 7490.33 50.5404 3384.09 35.5306 63 8.56963e+06 5175.06 536 1 2180 4.20544e+09 7490.33 50.5404 3384.09 35.5306 1849900
61 1.05354e+07 6927.44 703 1 2981 5.4026e+09 9985.67 48.4956 3258.24 35.9577 61 1.05354e+07 6927.44 703 1 2981 5.4026e+09 9985.67 48.4956 3258.24 33.5879 1883857
11 4.56277e+06 1646.04 44 1 358 6.86431e+08 2615.25 67.3688 6212.54 31.7124 11 4.56277e+06 1646.04 44 1 358 6.86431e+08 2615.25 67.3688 6212.54 31.3428 414880
57 8.74744e+06 6305.48 695 1 2964 4.03671e+09 8933.71 49.2463 3374.34 35.8769 57 8.74744e+06 6305.48 695 1 2964 4.03671e+09 8933.71 49.2463 3374.34 33.6338 1928436
74 8.4489e+06 5774.13 633 1 2553 4.8557e+09 8270.19 46.8072 2900.33 35.7064 74 8.4489e+06 5774.13 633 1 2553 4.8557e+09 8270.19 46.8072 2900.33 33.5867 1846854
58 8.16898e+06 6154.3 740 1 3177 3.20931e+09 8553.36 48.2456 3374.89 35.8479 58 8.16898e+06 6154.3 740 1 3177 3.20931e+09 8553.36 48.2456 3374.89 33.6514 1935034
80 7.96738e+06 10378 1280 1 5406 6.96624e+09 14409.3 32.4697 1516.08 35.5793 80 7.96738e+06 10378 1280 1 5406 6.96624e+09 14409.3 32.4697 1516.08 32.564 1019137
102 8.34806e+06 6076.82 860 1 3339 3.03628e+09 8273.13 48.4871 3415.51 35.7541 102 8.34806e+06 6076.82 860 1 3339 3.03628e+09 8273.13 48.4871 3415.51 33.5699 1848566
69 7.88138e+06 5776.02 630 1 2542 3.93057e+09 8282.38 43.5763 2625.05 35.7236 69 7.88138e+06 5776.02 630 1 2542 3.93057e+09 8282.38 43.5763 2625.05 33.5901 1884759
51 8.03658e+06 5431.87 669 1 2905 2.69203e+09 7500.51 50.1175 3620.63 35.7052 51 8.03658e+06 5431.87 669 1 2905 2.69203e+09 7500.51 50.1175 3620.63 33.6797 1986310
61 8.61647e+06 6141.26 605 1 2512 5.31696e+09 8953.77 43.7109 2538.43 35.8146 61 8.61647e+06 6141.26 605 1 2512 5.31696e+09 8953.77 43.7109 2538.43 33.5867 1869020
51 7.61497e+06 5694.61 686 1 2987 2.80379e+09 7896.42 48.5222 3429.37 35.7742 51 7.61497e+06 5694.61 686 1 2987 2.80379e+09 7896.42 48.5222 3429.37 33.6828 1985157
54 8.68386e+06 5220.45 500 1 2105 4.89085e+09 7644.13 47.7239 2964.37 35.5933 54 8.68386e+06 5220.45 500 1 2105 4.89085e+09 7644.13 47.7239 2964.37 33.5989 1882448
