quantile1_it max_it mean_it median_it min_it quantile3_it variance_it absdev_it skewness_it kurtosis_it log2(tic) quantile1_mz max_mz mean_mz median_mz min_mz quantile3_mz variance_mz absdev_mz skewness_mz kurtosis_mz num_points
172 2.91638e+06 10164.5 1889 2 9394 7.17932e+08 12435.7 19.1644 1110.57 34.6887 172 2.91638e+06 10164.5 1889 2 9394 7.17932e+08 12435.7 19.1644 1110.57 1650.53
171 3.55688e+06 10374.3 1752 2 9271 6.63538e+08 12877.2 13.128 630.505 34.6793 171 3.55688e+06 10374.3 1752 2 9271 6.63538e+08 12877.2 13.128 630.505 1628.46
160 3.6228e+06 9495.41 1753 2 8828 6.50565e+08 11615.4 24.2573 1786.9 34.5931 160 3.6228e+06 9495.41 1753 2 8828 6.50565e+08 11615.4 24.2573 1786.9 1652.04
155 2.44132e+06 9518.97 1607 2 8503 5.84557e+08 11819.3 14.4807 668.619 34.5857 155 2.44132e+06 9518.97 1607 2 8503 5.84557e+08 11819.3 14.4807 668.619 1645.78
148 3.74266e+06 9131.61 1625 2 8400 6.26492e+08 11231.5 27.3096 2319.29 34.5504 148 3.74266e+06 9131.61 1625 2 8400 6.26492e+08 11231.5 27.3096 2319.29 1659.89
169 2.71268e+06 9138.37 1537 2 8086 5.58805e+08 11350.7 16.1598 887.459 34.5436 169 2.71268e+06 9138.37 1537 2 8086 5.58805e+08 11350.7 16.1598 887.459 1655.39
143 3.36017e+06 8940.03 1541 2 8057 6.27147e+08 11061.1 27.6614 2206.59 34.5326 143 3.36017e+06 8940.03 1541 2 8057 6.27147e+08 11061.1 27.6614 2206.59 1667.29
194 2.89889e+06 8884.8 1563 2 7844 5.33907e+08 10995.8 17.7978 1075.31 34.5104 194 2.89889e+06 8884.8 1563 2 7844 5.33907e+08 10995.8 17.7978 1075.31 1659.63
137 2.99136e+06 8514.38 1446 2 7694 5.57873e+08 10540.7 25.0687 1787.13 34.4664 137 2.99136e+06 8514.38 1446 2 7694 5.57873e+08 10540.7 25.0687 1787.13 1669.7
195 2.54504e+06 9007.98 1562 2 7832 5.50436e+08 11190.1 16.0001 786.411 34.535 195 2.54504e+06 9007.98 1562 2 7832 5.50436e+08 11190.1 16.0001 786.411 1662.32
139 3.83122e+06 8298.19 1452 2 7600 5.20961e+08 10225.7 29.5913 2803.88 34.4311 139 3.83122e+06 8298.19 1452 2 7600 5.20961e+08 10225.7 29.5913 2803.88 1670.73
152 2.93502e+06 8655.47 1434 2 7722 4.95672e+08 10760 16.2554 873.721 34.4665 152 2.93502e+06 8655.47 1434 2 7722 4.95672e+08 10760 16.2554 873.721 1656.05
140 3.99539e+06 8673.35 1446 2 7813 5.87142e+08 10759.5 28.4766 2515.49 34.4707 140 3.99539e+06 8673.35 1446 2 7813 5.87142e+08 10759.5 28.4766 2515.49 1656.78
145 2.12444e+06 8736.28 1434 2 7800 5.00631e+08 10873.1 15.2647 727.285 34.479 145 2.12444e+06 8736.28 1434 2 7800 5.00631e+08 10873.1 15.2647 727.285 1655.55
134 2.60798e+06 8429.89 1429 2 7642 5.17111e+08 10439.2 21.7216 1402.87 34.444 134 2.60798e+06 8429.89 1429 2 7642 5.17111e+08 10439.2 21.7216 1402.87 1665.07
138 3.00302e+06 9188.78 1462 2 8220 5.55799e+08 11466.8 16.7667 950.077 34.5317 138 3.00302e+06 9188.78 1462 2 8220 5.55799e+08 11466.8 16.7667 950.077 1644.01
130 3.08922e+06 8734.65 1474 2 8018 5.50092e+08 10802.8 22.291 1522.53 34.4983 130 3.08922e+06 8734.65 1474 2 8018 5.50092e+08 10802.8 22.291 1522.53 1666.81
133 3.19777e+06 9153.19 1474 2 8265 5.33456e+08 11401.3 15.4351 868.919 34.5493 133 3.19777e+06 9153.19 1474 2 8265 5.33456e+08 11401.3 15.4351 868.919 1657.27
142 2.93495e+06 8701.03 1497 2 8018 5.4807e+08 10730 22.3827 1466.89 34.4888 142 2.93495e+06 8701.03 1497 2 8018 5.4807e+08 10730 22.3827 1466.89 1664.57
136 2.70202e+06 9190.21 1490 2 8319 5.53414e+08 11435.4 17.2642 994.227 34.5368 136 2.70202e+06 9190.21 1490 2 8319 5.53414e+08 11435.4 17.2642 994.227 1646.81
138 3.44012e+06 8626.06 1484 2 7884 5.50441e+08 10653.2 24.3652 1789.67 34.4708 138 3.44012e+06 8626.06 1484 2 7884 5.50441e+08 10653.2 24.3652 1789.67 1661.39
154 2.92369e+06 9069.9 1500 2 8201 5.1302e+08 11255.8 14.1677 674.475 34.5096 154 2.92369e+06 9069.9 1500 2 8201 5.1302e+08 11255.8 14.1677 674.475 1642.13
132 2.70394e+06 8400.61 1404 2 7610 4.98656e+08 10419 19.6308 1175.94 34.4359 132 2.70394e+06 8400.61 1404 2 7610 4.98656e+08 10419 19.6308 1175.94 1663.26
141 2.57817e+06 9601.9 1620 2 9068 5.51386e+08 11835.3 14.4371 712.717 34.6043 141 2.57817e+06 9601.9 1620 2 9068 5.51386e+08 11835.3 14.4371 712.717 1649.26
133 2.75092e+06 8934.59 1487 2 8115 5.49563e+08 11085.5 20.7563 1420.81 34.5168 133 2.75092e+06 8934.59 1487 2 8115 5.49563e+08 11085.5 20.7563 1420.81 1658.66
144 3.97811e+06 13693.6 2186 2 12799 1.09819e+09 17027.7 11.6828 502.569 35.0984 144 3.97811e+06 13693.6 2186 2 12799 1.09819e+09 17027.7 11.6828 502.569 1638.98
138 3.02686e+06 10505.1 1704 2 9381 7.56866e+08 13108.8 16.3914 885.106 34.7271 138 3.02686e+06 10505.1 1704 2 9381 7.56866e+08 13108.8 16.3914 885.106 1645.29
174 3.0332e+06 10838.9 1787 2 9825 7.16827e+08 13456.3 14.9467 801.911 34.7414 174 3.0332e+06 10838.9 1787 2 9825 7.16827e+08 13456.3 14.9467 801.911 1627.85
134 3.17875e+06 9317.44 1542 2 8313 5.90705e+08 11601.1 17.1752 993.128 34.5774 134 3.17875e+06 9317.44 1542 2 8313 5.90705e+08 11601.1 17.1752 993.128 1658.68
136 3.54397e+06 9782.97 1568 2 8693 6.10898e+08 12231.7 15.7783 936.925 34.6206 136 3.54397e+06 9782.97 1568 2 8693 6.10898e+08 12231.7 15.7783 936.925 1643.17
132 2.39938e+06 8707.87 1461 2 7804 5.34049e+08 10814.6 18.0686 963.141 34.4895 132 2.39938e+06 8707.87 1461 2 7804 5.34049e+08 10814.6 18.0686 963.141 1664.27
133 4.89044e+06 9480.82 1498 2 8345 5.9366e+08 11882.8 18.7836 1476.31 34.5955 133 4.89044e+06 9480.82 1498 2 8345 5.9366e+08 11882.8 18.7836 1476.31 1654.69
130 3.15661e+06 8506.37 1424 2 7586 5.11121e+08 10574 19.2725 1164.77 34.4745 130 3.15661e+06 8506.37 1424 2 7586 5.11121e+08 10574 19.2725 1164.77 1675.15
165 2.89271e+06 9316.42 1507 2 8196 5.51918e+08 11633 14.8703 767.634 34.5607 165 2.89271e+06 9316.42 1507 2 8196 5.51918e+08 11633 14.8703 767.634 1649.25
135 2.31777e+06 8362.32 1402 2 7409 4.9894e+08 10400.5 18.1913 959.185 34.4338 135 2.31777e+06 8362.32 1402 2 7409 4.9894e+08 10400.5 18.1913 959.185 1665.84
157 3.15247e+06 9180.71 1472 2 7986 5.63734e+08 11498.2 16.4168 866.142 34.5558 157 3.15247e+06 9180.71 1472 2 7986 5.63734e+08 11498.2 16.4168 866.142 1658.56
136 2.78147e+06 8331.24 1440 2 7515 5.03521e+08 10303.3 20.1804 1195.59 34.456 136 2.78147e+06 8331.24 1440 2 7515 5.03521e+08 10303.3 20.1804 1195.59 1681.87
154 2.47362e+06 9263.04 1489 2 8091 5.58233e+08 11594 15.2505 771.161 34.5652 154 2.47362e+06 9263.04 1489 2 8091 5.58233e+08 11594 15.2505 771.161 1656.56
127 2.64554e+06 8189.89 1373 2 7243 4.88813e+08 10197.5 20.3903 1206.38 34.4369 127 2.64554e+06 8189.89 1373 2 7243 4.88813e+08 10197.5 20.3903 1206.38 1685.14
132 2.00167e+06 8038.06 1291 2 7224 3.85815e+08 10021.1 12.4173 555.508 34.3607 132 2.00167e+06 8038.06 1291 2 7224 3.85815e+08 10021.1 12.4173 555.508 1656.6
131 2.40501e+06 8059.36 1375 2 7114 4.77998e+08 10017.6 21.5213 1339.05 34.4172 131 2.40501e+06 8059.36 1375 2 7114 4.77998e+08 10017.6 21.5213 1339.05 1687.16
132 2.73935e+06 9209.64 1462 2 8083 5.41385e+08 11547.3 14.4622 716.133 34.5738 132 2.73935e+06 9209.64 1462 2 8083 5.41385e+08 11547.3 14.4622 716.133 1666.32
129 2.76556e+06 8161.47 1386 2 7188 5.03399e+08 10156.1 22.6381 1453.42 34.4374 129 2.76556e+06 8161.47 1386 2 7188 5.03399e+08 10156.1 22.6381 1453.42 1688.37
149 3.36242e+06 9151.11 1482 2 8109 5.47121e+08 11424.3 17.4702 1083.47 34.5554 149 3.36242e+06 9151.11 1482 2 8109 5.47121e+08 11424.3 17.4702 1083.47 1661
129 3.30766e+06 7919.08 1347 2 6998 4.81847e+08 9845.58 25.5302 1985.46 34.4082 129 3.30766e+06 7919.08 1347 2 6998 4.81847e+08 9845.58 25.5302 1985.46 1696.71
138 2.85482e+06 9565.88 1511 2 8352 6.13687e+08 12010.7 16.3285 860.986 34.6289 138 2.85482e+06 9565.88 1511 2 8352 6.13687e+08 12010.7 16.3285 860.986 1666.49
135 2.76667e+06 8699.02 1469 2 7719 5.68224e+08 10817.4 23.7963 1657.63 34.5166 135 2.76667e+06 8699.02 1469 2 7719 5.68224e+08 10817.4 23.7963 1657.63 1680.83
138 2.47426e+06 9679.89 1555 2 8588 5.89512e+08 12106.3 14.5378 719.828 34.6285 138 2.47426e+06 9679.89 1555 2 8588 5.89512e+08 12106.3 14.5378 719.828 1656.42
133 2.56611e+06 8515.72 1441 2 7515 5.15307e+08 10601.3 18.86 1036.18 34.494 133 2.56611e+06 8515.72 1441 2 7515 5.15307e+08 10601.3 18.86 1036.18 1685.6
139 3.04612e+06 9710.65 1563 2 8618 5.91504e+08 12144.4 14.5411 741.15 34.6378 139 3.04612e+06 9710.65 1563 2 8618 5.91504e+08 12144.4 14.5411 741.15 1659.16
151 973045 7483.39 1575 2 7600 2.91753e+08 8899.77 8.02386 138.995 34.3546 151 973045 7483.39 1575 2 7600 2.91753e+08 8899.77 8.02386 138.995 1713.31
